,Historical (Hyperliquid),Synthetic (MCP),Diff %
returns_mean_bps,-0.02655573248740192,0.04073699806343206,253.4
returns_std_bps,2.412607430414579,3.537173202877021,46.61
returns_skewness,-0.23359103558321062,0.9794671748541603,519.31
returns_kurtosis,12.290323719483162,41.597520214961165,238.46
returns_min_bps,-40.18290549448719,-60.36504879748287,-50.23
returns_max_bps,18.229614505465417,66.92003817550595,267.1
returns_median_bps,0.0,0.013283508204286296,inf
volatility_annual,60.59055943045336,88.83306105374088,46.61
spread_mean_bps,0.1731781763897127,0.132271095045385,-23.62
spread_std_bps,0.13451763236617542,0.03186176481431221,-76.31
spread_median_bps,0.11837533822205162,0.12612577360657273,6.55
spread_min_bps,0.11070240195562898,0.07464742816368475,-32.57
spread_max_bps,4.962406125999597,0.41263289588902785,-91.68
bid_depth_5_mean,14.173230065565045,7.4335005261890466,-47.55
ask_depth_5_mean,13.778210522441398,7.432359663359453,-46.06
imbalance_mean,-0.00963029016694131,0.00017762526362017346,101.84
imbalance_std,0.5942217709545453,0.045914363987241726,-92.27
price_mean,86084.44858865126,93104.07740032594,8.15
price_std,892.7391813444801,1994.5305721480108,123.42
price_range_pct,7.643657022701148,10.070281422220356,31.75
returns_acf_1,0.06376215957376767,0.047979534982720055,-24.75
sq_returns_acf_1,0.20499121674208526,0.30679732107496954,49.66
